Date,Price
1/10/17,415.1520081
2/10/17,421.1860046
3/10/17,404.177002
4/10/17,358.446991
5/10/17,355.75
6/10/17,363.0140076
7/10/17,360.7820129
8/10/17,342.2120056
9/10/17,314.1610107
10/10/17,321.5899963
11/10/17,314.8959961
12/10/17,313.2130127
13/10/17,321.4609985
14/10/17,321.9580078
15/10/17,314.946991
16/10/17,313.6430054
17/10/17,371.7309875
18/10/17,339.1659851
19/10/17,330.8059998
20/10/17,327.4440002
21/10/17,323.3580017
22/10/17,331.6600037
23/10/17,315.5950012
24/10/17,326.8900146
25/10/17,332.131012
26/10/17,338.2049866
27/10/17,367.5700073
28/10/17,423.3450012
29/10/17,451.9240112
30/10/17,448.2269897
31/10/17,439.053009
1/11/17,531.8280029
2/11/17,587.2219849
3/11/17,625.3239746
4/11/17,620.4450073
5/11/17,630.7020264
6/11/17,602.6480103
7/11/17,616.2960205
8/11/17,622.4550171
9/11/17,654.3029785
10/11/17,1007.419983
11/11/17,1340.449951
12/11/17,1388.859985
13/11/17,1353.98999
14/11/17,1273.530029
15/11/17,1212.400024
16/11/17,900.776001
17/11/17,1185.47998
18/11/17,1254.530029
19/11/17,1172.050049
20/11/17,1236.01001
21/11/17,1176.969971
22/11/17,1303.310059
23/11/17,1683.810059
24/11/17,1648.51001
25/11/17,1571.27002
26/11/17,1735.660034
27/11/17,1622.569946
28/11/17,1546.180054
29/11/17,1359.709961
30/11/17,1389.780029
1/12/17,1462.680054
2/12/17,1434.97998
3/12/17,1559.930054
4/12/17,1576.920044
5/12/17,1501.849976
6/12/17,1430.099976
7/12/17,1330.930054
8/12/17,1464.130005
9/12/17,1410.060059
10/12/17,1323.069946
11/12/17,1423.380005
12/12/17,1615.030029
13/12/17,1607.650024
14/12/17,1966.140015
15/12/17,1815.430054
16/12/17,1801.880005
17/12/17,1862.880005
18/12/17,2196.639893
19/12/17,2805.889893
20/12/17,3923.070068
21/12/17,3267.169922
22/12/17,2696.689941
