Date,Price
1/10/17,4403.740234
2/10/17,4409.319824
3/10/17,4317.47998
4/10/17,4229.359863
5/10/17,4328.410156
6/10/17,4370.810059
7/10/17,4426.890137
8/10/17,4610.47998
9/10/17,4772.02002
10/10/17,4781.990234
11/10/17,4826.47998
12/10/17,5446.910156
13/10/17,5647.209961
14/10/17,5831.790039
15/10/17,5678.189941
16/10/17,5725.589844
17/10/17,5605.509766
18/10/17,5590.689941
19/10/17,5708.52002
20/10/17,6011.450195
21/10/17,6031.600098
22/10/17,6008.419922
23/10/17,5930.319824
24/10/17,5526.640137
25/10/17,5750.799805
26/10/17,5904.830078
27/10/17,5780.899902
28/10/17,5753.089844
29/10/17,6153.850098
30/10/17,6130.529785
31/10/17,6468.399902
1/11/17,6767.310059
2/11/17,7078.5
3/11/17,7207.759766
4/11/17,7379.950195
5/11/17,7407.410156
6/11/17,7022.759766
7/11/17,7144.379883
8/11/17,7459.689941
9/11/17,7143.580078
10/11/17,6618.140137
11/11/17,6357.600098
12/11/17,5950.069824
13/11/17,6559.490234
14/11/17,6635.75
15/11/17,7315.540039
16/11/17,7871.689941
17/11/17,7708.990234
18/11/17,7790.149902
19/11/17,8036.490234
20/11/17,8200.639648
21/11/17,8071.259766
22/11/17,8253.549805
23/11/17,8038.77002
24/11/17,8253.69043
25/11/17,8790.919922
26/11/17,9330.549805
27/11/17,9818.349609
28/11/17,10058.7998
29/11/17,9888.610352
30/11/17,10233.59961
1/12/17,10975.59961
2/12/17,11074.59961
3/12/17,11323.2002
4/12/17,11657.2002
5/12/17,11916.7002
6/12/17,14291.5
7/12/17,17899.69922
8/12/17,16569.40039
9/12/17,15178.2002
10/12/17,15455.40039
11/12/17,16936.80078
12/12/17,17415.40039
13/12/17,16408.19922
14/12/17,16564
15/12/17,17706.90039
16/12/17,19497.40039
17/12/17,19140.80078
18/12/17,19114.19922
19/12/17,17776.69922
20/12/17,16624.59961
21/12/17,15802.90039
22/12/17,13831.7998
23/12/17,14699.2002
24/12/17,13925.7998
25/12/17,14026.59961
26/12/17,16099.7998
27/12/17,15838.5
28/12/17,14606.5
29/12/17,14656.2002
30/12/17,12952.2002
31/12/17,14156.40039
1/1/18,13657.2002
2/1/18,14982.09961
3/1/18,15201
4/1/18,15599.2002
5/1/18,17429.5
6/1/18,17527
7/1/18,16477.59961
8/1/18,15170.09961
9/1/18,14595.40039
10/1/18,14973.2998
11/1/18,13405.7998
12/1/18,13980.59961
13/1/18,14360.2002
14/1/18,13772
15/1/18,13819.7998
16/1/18,11490.5
17/1/18,11188.59961
18/1/18,11474.90039
19/1/18,11607.40039
20/1/18,12899.2002
21/1/18,11600.09961
22/1/18,10931.40039
23/1/18,10868.40039
24/1/18,11359.40039
25/1/18,11259.40039
26/1/18,11171.40039
27/1/18,11440.7002
28/1/18,11786.2998
29/1/18,11296.40039
30/1/18,10106.2998
31/1/18,10221.09961
1/2/18,9170.540039
2/2/18,8830.75
3/2/18,9174.910156
4/2/18,8277.009766
5/2/18,6955.27002
6/2/18,7754
7/2/18,7621.299805
8/2/18,8265.589844
9/2/18,8736.980469
10/2/18,8621.900391
11/2/18,8129.970215
12/2/18,8926.570313
13/2/18,8598.30957
14/2/18,9494.629883
15/2/18,10166.40039
16/2/18,10233.90039
17/2/18,11112.7002
18/2/18,10551.7998
19/2/18,11225.2998
