Date,DOGE
1/10/17,0.001084
2/10/17,0.001085
3/10/17,0.001108
4/10/17,0.001024
5/10/17,0.001001
6/10/17,0.001056
7/10/17,0.001066
8/10/17,0.001056
9/10/17,0.000991
10/10/17,0.001036
11/10/17,0.001046
12/10/17,0.001062
13/10/17,0.001066
14/10/17,0.00111
15/10/17,0.001106
16/10/17,0.001164
17/10/17,0.001067
18/10/17,0.001047
19/10/17,0.001064
20/10/17,0.00105
21/10/17,0.001007
22/10/17,0.001023
23/10/17,0.001016
24/10/17,0.001092
25/10/17,0.001056
26/10/17,0.001051
27/10/17,0.001052
28/10/17,0.001037
29/10/17,0.001173
30/10/17,0.001151
31/10/17,0.001124
1/11/17,0.001138
2/11/17,0.001151
3/11/17,0.001121
4/11/17,0.001189
5/11/17,0.001182
6/11/17,0.001154
7/11/17,0.001177
8/11/17,0.001222
9/11/17,0.001415
10/11/17,0.001163
11/11/17,0.001201
12/11/17,0.001038
13/11/17,0.001211
14/11/17,0.001184
15/11/17,0.001339
16/11/17,0.00139
17/11/17,0.001313
18/11/17,0.001373
19/11/17,0.001376
20/11/17,0.001394
21/11/17,0.001389
22/11/17,0.001823
23/11/17,0.001891
24/11/17,0.001908
25/11/17,0.002072
26/11/17,0.002026
27/11/17,0.001988
28/11/17,0.002363
29/11/17,0.00208
30/11/17,0.002079
1/12/17,0.002148
2/12/17,0.002149
3/12/17,0.002223
4/12/17,0.002463
5/12/17,0.002479
6/12/17,0.002663
7/12/17,0.00272
8/12/17,0.002779
9/12/17,0.002617
10/12/17,0.002547
11/12/17,0.002798
12/12/17,0.003304
13/12/17,0.003461
14/12/17,0.003709
15/12/17,0.003762
16/12/17,0.005933
17/12/17,0.005984
18/12/17,0.006433
19/12/17,0.005666
20/12/17,0.006661
21/12/17,0.007425
22/12/17,0.006054
23/12/17,0.007259
24/12/17,0.008582
25/12/17,0.008931
26/12/17,0.009411
27/12/17,0.008872
28/12/17,0.008486
29/12/17,0.009391
30/12/17,0.00786
31/12/17,0.008972
1/1/18,0.008909
2/1/18,0.009145
3/1/18,0.00932
4/1/18,0.009644
5/1/18,0.012167
6/1/18,0.014863
7/1/18,0.017088
8/1/18,0.015045
9/1/18,0.01342
10/1/18,0.013102
11/1/18,0.011469
12/1/18,0.013056
13/1/18,0.013023
14/1/18,0.011684
15/1/18,0.009857
16/1/18,0.006822
17/1/18,0.007648
18/1/18,0.007969
19/1/18,0.007871
20/1/18,0.008448
21/1/18,0.007131
22/1/18,0.006734
23/1/18,0.006673
24/1/18,0.007083
25/1/18,0.007667
26/1/18,0.007237
27/1/18,0.007373
28/1/18,0.007465
29/1/18,0.006967
30/1/18,0.006024
31/1/18,0.00601
1/2/18,0.005029
2/2/18,0.004475
3/2/18,0.005164
4/2/18,0.004399
5/2/18,0.003533
6/2/18,0.004361
7/2/18,0.004297
8/2/18,0.004566
9/2/18,0.005
10/2/18,0.004989
11/2/18,0.004956
12/2/18,0.005472
13/2/18,0.005638
14/2/18,0.00673
15/2/18,0.007347
16/2/18,0.007034
17/2/18,0.007049
18/2/18,0.006424
19/2/18,0.006697
20/2/18,0.007094
21/2/18,0.006581
22/2/18,0.006259
23/2/18,0.006648
24/2/18,0.006324
25/2/18,0.006142
26/2/18,0.006339
