Date,Cryptocurrency,Crackdown,Crypto,Blockchain,Digital currency,Crypto Mining,DeFi,Altcoins,Smart contracts,Stablecoin,Bittrex,Coinbase,Vitalik,Satoshi,Cryptocurrency regulation,Gary Gensler,Tesla,Elon Musk,Whales,Decentralised finance,Distributed ledger,Halving,ICO,China Digital Currency
1/10/17,8,4,3,21,8,5,20,4,3,0,15,1,3,27,0,0,8,3,25,0,0,0,18,0
2/10/17,10,2,3,32,33,6,23,4,3,0,22,1,2,23,6,0,8,3,21,0,16,0,27,0
3/10/17,12,1,3,32,16,9,26,7,6,0,17,1,2,21,6,0,9,3,20,0,16,0,22,42
4/10/17,8,2,3,36,16,8,24,7,13,0,16,1,2,20,0,8,9,3,24,0,16,1,27,0
5/10/17,9,3,2,33,13,8,27,2,4,0,17,1,1,18,0,0,8,3,22,0,32,1,23,0
6/10/17,10,1,2,31,14,7,22,4,10,0,14,1,4,19,0,0,10,4,21,0,0,1,24,0
7/10/17,8,0,2,26,23,9,23,4,2,0,15,1,4,20,0,0,10,3,22,0,18,0,20,0
8/10/17,8,1,2,22,30,7,18,4,2,0,17,1,4,17,7,0,9,3,26,0,54,1,22,0
9/10/17,10,3,3,33,29,5,19,2,7,0,16,1,4,25,6,0,9,3,28,0,31,0,25,0
10/10/17,8,1,3,44,23,14,28,5,6,0,16,1,2,17,6,0,9,2,26,0,93,1,27,0
11/10/17,10,1,3,42,7,3,26,5,4,0,16,1,1,23,0,0,8,2,26,0,0,1,24,0
12/10/17,11,2,3,38,20,5,24,9,6,1,19,2,3,30,0,0,8,2,24,0,14,1,25,0
13/10/17,12,2,3,42,27,8,22,9,9,0,23,2,2,30,0,0,9,2,29,0,8,0,22,22
14/10/17,10,2,3,29,15,8,17,7,4,1,18,2,2,34,0,0,10,2,23,0,0,0,17,0
15/10/17,12,2,3,28,23,7,24,21,0,0,18,2,1,27,0,0,9,2,24,0,7,0,19,0
16/10/17,12,1,3,40,21,10,23,11,7,0,21,2,4,24,3,0,9,2,21,0,30,0,25,0
17/10/17,12,2,3,44,19,9,24,16,7,0,24,2,5,29,0,0,8,2,22,0,28,1,27,0
18/10/17,12,2,3,42,28,4,20,10,9,0,18,2,7,21,0,0,7,2,23,0,57,1,26,44
